rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
292,Dances with Wolves,1990,3.1,English,Western/Drama,PG-13,Kevin Costner,"Kevin Costner, Graham Greene, Mary McDonnell, Tantoo Cardinal, Robert Pastorelli",A Civil War Commander heads to the plains to settle during the civil war when he first encounters Native Americans.
293,The Fugitive,1993,3.1,English,Action/Crime,PG-13,Andrew Davis,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, Joe Pantoliano, Andreas Katsulas",A doctor is accused of murdering his wife and escapes to find the one-armed man responsible for the crime while dodging the U.S. Marshals in pursuit.
294,The Last Picture Show,1971,3.2,English,Drama,R,Peter Bogdanovich,"Jeff Bridges, Timothy Bottoms, Cybill Shepherd, Ben Johnson, Ellen Burstyn, Cloris Leachman",A coming of age story about a men and women in a small Texas town during the 1950s.
295,Roman Holiday,1953,3.2,English,Drama/Romance,NR,William Wyler,"Gregory Peck, Audrey Hepburn, Eddie Albert, Harcourt Williams, Hartley Power, Margaret Rawlings",A princess escapes her boring family life when she meets an American Newsman and falls in love.
296,Apollo 13,1995,3.1,English,Drama/Historical,PG-13,Ron Howard,"Tom Hanks, Kevin Bacon, Gary Sinise, Bill Paxton, Ed Harris, Kathleen Quinlan",A group of US astronauts deal with a catastrophe in outer space. With the country and NASA's help they try to get back home.
297,Harakiri ( Seppuku ),1964,3.3,Japanese,Drama,NR,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima, Ichirô Nakatani","17th-century Japan has entered a peaceful period - but it has also put thousands of Samurai out of work and into poverty. An elderly Samurai, looking to die an honorable death, approaches the home of a feudal lord to commit the ritual suicide hara-kiri. But when he hears the tale of his son-in-law - forced to commit the act in a barbaric fashion using a dull bamboo blade - instead of death, he seeks revenge."
298,Wild Strawberries ( Smultronstället ),1957,3.2,Swedish,Drama,NR,Ingmar Bergman,"Victor Sjostrom, Max von Sydow, Ingrid Thulin, Bibi Andersson, Jullan Kindahl, Bjorn Bjelfvenstam","Professor of medicine Isak Borg travels to Lund University in order to receive his anniversary title. Along the road he meets strangers and relatives, and in his dreams he is confronted with his own past as well as fear of insufficiency."
299,True Grit,2010,3.1,English,Drama/Western,PG-13,"Ethan Coen, Joel Coen","Matt Damon, Jeff Bridges, Josh Brolin, Barry Pepper, Hailee Steinfeld, Paul Rae",The Coen Brothers' take on the classic western: A grizzled U.S. Marshal and stubborn young woman join forces to track down the men who murdered her father.
300,Roots,1977,3.2,English,Drama,NR,"Marvin J. Chomsky, John Erman","LeVar Burton, Ben Vereen, Vic Morrow, Edward Asner, Lloyd Bridges, Olivia Cole","An African-American man tells the story of his ancestors, as told to him by his family, going all the way back to Africa."
301,"Lock, Stock and Two Smoking Barrels",1999,3.1,English,Comedy/Crime,R,Guy Ritchie,"Nick Moran, Dexter Fletcher, Jason Flemyng, Jason Statham, Steven Mackintosh, Nicholas Rowe","A group of working class men put their money together for high rolling card game, but when they loose it all, they only have one week to pay it back or else."
302,Life of Pi,2012,3.1,English,Adventure/Drama,PG,Ang Lee,"Irrfan Khan, Suraj Sharma, Tabu, Adil Hussain, Ayush Tandon, Gautam Belur","A son of a zookeeper survives a shipwreck by stowing away in a lifeboat with a zebra, orangutan, hyena and Bengal tiger."
303,"Aguirre, Wrath of God ( Aguirre, der Zorn Gottes )",1972,3.2,German,Adventure/Drama,PG,Werner Herzog,"Klaus Kinski, Helena Rojo, Cecilia Rivera, Ruy Guerra, Del Negro, Peter Berling","An adventure set in the 1500's, Spanish soldiers begin to loose touch with themselves as greed takes over their search for riches."
304,Arrival,2016,3.2,English,Sci-Fi,PG-13,Denis Villeneuve,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg, Mark O'Brien, Tzi Ma","A series of alien spacecraft land around the world. With humanity on edge, an elite team, led by linguists expert Louise Banks, are sent to investigate and decide whether these beings come in peace or the opposite. Time is not on their side, however, and Banks must take a chance that could threaten her own life - and possibly all mankind."
305,The Wild Robot,2024,3.5,English,Animation/Adventure,PG,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Stephanie Hsu, Mark Hamill, Catherine O'Hara, Bill Nighy",
306,Birdman or (The Unexpected Virtue of Ignorance),2014,3.2,English,Comedy,R,Alejandro González Iñárritu,"Emma Stone, Michael Keaton, Naomi Watts, Edward Norton, Zach Galifianakis, Andrea Riseborough","He once played an iconic superhero - but that was then, and this is now. With a huge ego and family trouble - a washed-up actor will attempt to put his troubles behind him at he mounts a comeback on Broadway."
307,In the Mood for Love ( Fa yeung nin wa ),2000,3.2,Cantonese,Romance/Drama,PG,Kar Wai Wong,"Tony Leung Chiu Wai, Maggie Cheung, Rebecca Pan, Zhi-gong Chen, Ping Lam Siu, Man-Lei Chan","In Hong Kong, two neighbors find themselves with a mutual when when each suspects their significant other of conducting an extramarital affair."
308,Inside Job,2010,3.2,English,Documentary,PG-13,Charles Ferguson,"Matt Damon, Daniel Alpert, Jonathan Alpert, John Campbell, Christine Lagarde, Dominique Strauss-Kahn",Documentary that examines the factors and fault that led to the recent financial meltdown.
309,Groundhog Day,1993,3.0,English,Comedy/Romance,PG,Harold Ramis,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty","A bored weatherman is sent to cover the ground hog and his shadow on Groundhog Day, only to discover that the same day repeats itself, no matter what he does."
310,Nausicaä of the Valley of the Wind ( Kaze no tani no Naushika ),1984,3.2,Japanese,Anime/Family,PG,Hayao Miyazaki,"Shia LaBeouf, Alison Lohman, Mark Hamill, Mark Silverman, Patrick Stewart, Uma Thurman","Far in the future the Earth has been devastated by the ""Seven Days of Fire."" Now only pockets of humanity survive and in one are, Princess Nausica? works to understand the toxic jungle while preventing war."
311,Wreck-It Ralph,2012,3.1,English,Animation,PG,Rich Moore,"John C. Reilly, Jack McBrayer, Sarah Silverman, Jane Lynch, Alan Tudyk, Adam Carolla","An 8-bit bad guy longs to be the hero, so to earn the medal he rightfully deserves, he game jumps to the new first-person shooter Heroes Duty but just when success is at hand, he wrecks things and winds up in the candy-coated racing game sugar rush where he reluctantly teams up with glitch named Vanellope and finds out being a true hero means a lot more than just having a medal."
312,Captain America: The Winter Soldier,2014,3.1,English,Action/Sci-Fi,PG-13,"Anthony Russo, Joe Russo","Chris Evans, Scarlett Johansson, Samuel L. Jackson, Robert Redford, Anthony Mackie, Robert Redford","Stever Rogers aka Captain America, continues to adapt to the modern world while working with S.H.I.E.L.D but an old friend is about to turn up: his former partner-in-arms James 'Bucky' Barnes resurfaces - but he's been programmed as a Russian assassin known as The Winter Soldier."
313,Moonlight,2016,3.3,English,Drama,R,Barry Jenkins,"Naomie Harris, Mahershala Ali, André Holland, Janelle Monáe, Trevante Rhodes, Ashton Sanders","Follows the life of Kevin from childhood, to adolescents to adulthood as he grows up in the drug-plagued inner-city Miami as he looks to rise above the violence and gangs to find love and change within himself."
314,The Intouchables,2012,3.2,French,Comedy/Drama,R,"Olivier Nakache, Eric Toledano","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Clotilde Mollet, Alba Gaïa Kraghede Bellugi",True story of a friendship of the most unlikely sort: a quadriplegic aristocrat and a young man from the projects.
315,Predator,1987,3.0,English,Action/Horror,R,John McTiernan,"Arnold Schwarzenegger, Jesse Ventura, Sonny Landham, R.G. Armstrong, Carl Weathers, Elpidia Carrillo",A group of Commandos are sent to a Central American region where they are supposed to fight hoodlums and thieves when a transparent killer shows up to teach them a lesson.
316,Let the Right One In ( Låt den rätte komma in ),2008,3.1,Swedish,Horror/Drama,R,Tomas Alfredson,"Kare Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl, Karin Bergquist, Peter Carlberg",A child vampire finds friendship with an unexpected boy that lives in the apartment building.
317,Get Out,2017,3.2,English,Horror,R,Jordan Peele,"Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford, Caleb Landry Jones, Marcus Henderson","A young African-American male has been dating his Caucasian girlfriend and both decide to visit her parents - who are unaware of his race. Once there, things begin to get strange."
318,Boogie Nights,1997,3.1,English,Drama,R,Paul Thomas Anderson,"Mark Wahlberg, John C. Reilly, Julianne Moore, Heather Graham, Burt Reynolds, Philip Seymour Hoffman","A young man has a gift, his gift gets him praises. He uses his gift to get into the porn industry in the 70's. This is the story of him and his gift."
319,28 Days Later,2003,3.0,English,Horror,R,Danny Boyle,"Cillian Murphy, Brendan Gleeson, Naomie Harris, Christopher Eccleston",An animal right's group accidentally releases a virus that turns England's population into rage-infested zombies. Only a few humans remain to fight off the flesh-hungry hoard.
320,Drive,2011,3.1,English,Action/Drama,R,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Christina Hendricks, Ron Perlman, Bryan Cranston, Albert Brooks",A stuntman-turned-wheelman must use all his skills to survive after a botched job results in a contract on his head.
321,Close Encounters of the Third Kind,1977,3.1,English,Sci-Fi/Adventure,PG,Steven Spielberg,"Richard Dreyfuss, Teri Garr, Melinda Dillon, Warren J. Kemmerling, Lance Henriksen, Melinda Dillon",A blue collar worker trucks stops working while he encounters a UFO and is drawn to a mountain for unknown reasons and continues to hear certain notes over and over.
322,Barry Lyndon,1975,3.2,English,Drama/Romance,PG,Stanley Kubrick,"Ryan O'Neal, Hardy Krüger, Steven Berkoff, Marisa Berenson, André Morell, Patrick Magee","A young man takes on a liberal approach to nobility when he gambles, duels, and fights his way to becoming a nobleman while winning the heart of a woman.  Takes place during 18th Century Europe."
323,Ex Machina,2015,3.2,English,Drama/Sci-Fi,R,Alex Garland,"Domhnall Gleeson, Oscar Isaac, Alicia Vikander, Sonoya Mizuno, Corey Johnson, Chelsea Li","An everyday programmer working as cog in the machine of the world's largest internet company finds himself as a winner of a competition to spend a week at the private mountain retreat of the secretive CEO of the company. But once he arrives, he finds himself as part of an experiment - interacting with world's most advanced A.I. - housed in the body of a beautiful female robot."
324,The Holdovers,2023,3.4,English,Comedy/Drama,R,Alexander Payne,"Paul Giamatti, Dominic Sessa, Da'Vine Joy Randolph, Tate Donovan, Carrie Preston, Michael Provost",
325,The Searchers,1956,3.1,English,Western,NR,John Ford,"John Wayne, Natalie Wood, Jeffrey Hunter, Vera Miles, John Qualen, Ward Bond",A civil war veteran searchers for years for his niece who was possibly captured by Indians as the inspiration for his motivation is in question.
326,Your Name. ( Kimi no na wa ),2017,3.3,Japanese,Anime/Drama,PG,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraish, Ryô Narita, Aoi Yuki, Nobunaga Shimazaki, Kaito Ishikawa","Two souls who couldn't be any further apart: Mitsuha Miyamizu is a girl living in a small mountain town where she yearns to get away from her small life, her father's electoral campaign and the superstitions that drive the community. Taki Tachiban lives a fast and busy life in Tokyo where he works part time at an Italian restaurant and strives for his dreams of becoming an artist or architect. When the two dream, a celestial bond causes them to switch bodies - and the possibilities and adventure it opens up will change their lives forever."
327,Hell or High Water,2016,3.2,English,Crime/Drama,R,David Mackenzie,"Chris Pine, Ben Foster, Jeff Bridges, Katy Mixon, Kevin Rankin, Gil Birmingham","With the family ranch on the line, two brothers decide to rob the very banks looking to foreclose on their homes. Taking only small bills and using a nearby casino to change out the money, they have a few days to complete the task. A Texas Ranger nearing retirement takes up the case but as both near the end point, more than money is put on the line."
328,Top Gun: Maverick,2022,3.3,English,Action,PG-13,Joseph Kosinski,"Tom Cruise, Miles Teller, Jennifer Connelly, Glen Powell, Jon Hamm, Monica Barbaro","After 30 years in service as one of the Navy's top aviators, Pete Mitchell finds himself still where he wants to be: a test pilot still pushing the limits, even as a new crop of hot-shots make their mark, while avoiding the advancements that would ultimately ground him."
329,Skyfall,2012,3.1,English,Action/Thriller,PG-13,Sam Mendes,"Daniel Craig, Judi Dench, Rhys Ifans, Javier Bardem, Naomie Harris, Ralph Fiennes","Loyalties will be tested as M finds herself at the mercy of part of her past she had thought was done for good. With M16 coming under attack, Bond will have to track down and eliminate the threat, no matter how it may affect his personal relationships."
330,Indiana Jones and the Temple of Doom,1984,3.0,English,Action/Adventure,PG-13,Steven Spielberg,"Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri, Roshan Seth, Philip Stone","After escaping from Hong Kong, Indiana Jones, a night-club singer and his 12-year old companion land in India where whey must help a village regain it's mysterous stones, along with their children, from a dangerous cult."
331,Memories of Murder ( Salinui chueok ),2005,3.2,Korean,Crime/Drama,NR,Joon-ho Bong,"Kang-ho Song, Sang-kyung Kim, Roe-ha Kim, Jae-ho Song, Hie-bong Byeon, Seo-hie Ko","In 1986 a potential serial killer is on the loose in the province of Gyunggi, South Korea. Two local thuggish, dumb use threats and violence to try to get to the bottom of things, but it's not until a detective from Seul starts investigating that things take a turn for the better... until a third body shows up."
332,"Three Billboards Outside Ebbing, Missouri",2017,3.2,English,Comedy/Crime,R,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Peter Dinklage, Caleb Landry Jones, Abbie Cornish","In this darkly comic tale a mother, who is frustrated at the lack of progress following the murder of her daughters months earlier, buys and posts three messages in billboards leading in to town, pointed directly at the well-liked chief of police. When other disparate characters begin to get involved in the proceedings, the grieving mother and Ebbing Police Department really get into it."
333,The Man Who Shot Liberty Valance,1962,3.2,English,Western,NR,John Ford,"James Stewart, John Wayne, Vera Miles, Lee Marvin, Edmond O'Brien, Andy Devine","Told from the perspective of an elective senator, he tells of a time when he murders a terrible unlawful gunman, which made him famous."
334,Harry Potter and the Sorcerer's Stone,2001,3.0,English,Fantasy/Adventure,PG,Chris Columbus,"Daniel Radcliffe, Richard Harris, Emma Watson, Rupert Grint, Maggie Smith, Robbie Coltrane","Based on the book by J.K. Rowling. A boy finds out he is a wizard and that he was excepted to the Magic School, Hogwarts. It's a year filled with finding new friends and learning about new and old enemies."
335,Blood Diamond,2006,3.1,English,Adventure/Drama,R,Edward Zwick,"Djimon Hounsou, Leonardo DiCaprio, Jennifer Connelly, Arnold Vosloo, David Harewood, Michael Sheen","A priceless diamond is discovered by a fisherman. A smuggling thief who only looks after himself over hears a story about the greatest diamond. Both men race to find it, but for different reasons."
336,Big Hero 6,2014,3.2,English,Animation/Action,PG,"Don Hall, Chris Williams","Ryan Potter, Scott Adsit, James Cromwell, Daniel Henney, T.J. Miller, Jamie Chung","The incredibly fast-paced and tech-heavy San Fransokyo is under attack - but robotics expert Hiro Hamada, with his robot Baymax, will team up with some reluctant, novice crime fighters in order to save the city."
337,My Life as a Zucchini ( Ma vie de Courgette ),2016,3.4,French,Animation/Family,PG-13,Claude Barras,"Gaspard Schlatter, Sixtine Murat, Paulin Jaccoud, Michel Vuillermoz, Raul Ribera, Estelle Hennard","After accidentally killing his alcoholic mother, a nine year old, blue haired boy named Courgette gets sent to an orphanage by a policeman named Raymond, Courgette then finds out from a boy named Simon that the kids in this home have gone through similar tragedies to him including drug addict parents, suicides, etc. Eventually the arrival of a girl named Camille sparks a love interest for Courgette and drama between Camille and her aunt."
338,The Banshees of Inisherin,2022,3.3,English,Drama,R,Martin McDonagh,"Barry Keoghan, Colin Farrell, Brendan Gleeson, Kerry Condon, Pat Shortt, Gary Lydon",Two life-long friends come to an end when one abruptly breaks off their relationship - a change that brings dire consequences for both of them.
339,Ocean's Eleven,2001,3.0,English,Comedy/Action,PG-13,Steven Soderbergh,"George Clooney, Brad Pitt, Matt Damon, Eliott Gould, Andy Garcia, Julia Roberts","Danny Ocean, with ten associates, plans an elaborate heist of three major Las Vegas casinos during a boxing match."
340,Lethal Weapon,1987,3.0,English,Action/Crime,R,Richard Donner,"Danny Glover, Mel Gibson, Gary Busey, Tom Atkins, Darlene Love, Mitch Ryan",A suicidal cop is partnered with an old timer in LA when they uncover drug smuggling and stop and nothing to bring them down.
341,Mad Max: Fury Road,2015,3.2,English,Action,R,George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult, Zoë Kravitz, Rosie Huntington-Whitely, Riley Keough","In a post-apocalyptic wasteland - the fight for survival has twisted the remnants of mankind, turning most into mad, vicious gangs. In this chaotic world two rebels may be able to restore order while seeking their own forms of redemption: Max, a man who just wants peace after losing his wife and child and Furiosa - who thinks finding her childhood home is the answer."
342,Persona ( Kinematografi ),1966,3.2,English,Drama,NR,Ingmar Bergman,"Liv Ullmann, Bibi Andersson, Gunnar Björnstrand",A nurse is in charge of a woman who can not talk as she begins to delve into confusion about the women who can not talk and herself.
343,"Tale of Princess Kaguya, The ( Kaguyahime no monogatari )",2014,3.3,Japanese,Anime/Drama,PG,Isao Takahata,"Chloë Grace Moretz, James Caan, Mary Steenburgen, Darren Criss, Lucy Liu, James Marsden","Based on the oldest surviving, and one of the most famous, Japanese folklore tales - an old man who makes a living selling bamboo comes across a princess, no bigger than his finger, in one of the plants. Named Kaguya, she grows and when she is of age, five suitors from five prestigious families come to propose. She requests five memorable wedding gifts - but each of the five men fails to bring her what she wants - then, the Emperor of Japan proposes as well."
344,Notorious,1946,3.2,English,Drama/Mystery,PG,Alfred Hitchcock,"Cary Grant, Ingrid Bergman, Claude Rains, Louis Calhern, Leopoldine Konstantin, Reinhold Schünzel","A man asks woman to spy on a group of her friends who are Nazis.  Located in South America, the girl is torn between what is right and wrong."
345,Everything Everywhere All at Once ,2022,3.3,English,Adventure/Comedy,R,"Dan Kwan, Daniel Scheinert","Michelle Yeoh, Jamie Lee Curtis, Stephanie Hsu, Ke Huy Quan, James Hong,  Andy Le",Evelyn Wang is an aging Chinese immigrant who finds herself in the middle of an interdimensional adventure when she is connected to many alternate lives across the multiverse and directed to save them all against a spreading threat.
346,8 1/2,1963,3.2,Italian,Drama,R,Federico Fellini,"Claudia Cardinale, Anouk Aimée, Marcello Mastroianni, Rossella Falk, Barbara Steele","A movie director, who become delusional, engulfs him self back to the old times - in his old movies and films - while living completely out of reality."
347,"Separation, A ( Jodaeiye Nader az Simin )",2011,3.2,Persian,Drama,PG-13,Asghar Farhadi,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini, Sarina Farhadi, Merila Zare'i","An Iranian couple face a tough decisions: the wife is determined to leave the country behind in order for their daughter to have a better life, but the husband refused to leave in order to care for his father, who suffers from Alzheimers. Divorce seems like the only option to satisfy both sides."
348,The French Connection,1971,3.1,English,Action/Crime,R,William Friedkin,"Gene Hackman, Fernando Rey, Tony Lo Bianco, Bill Hickman, Roy Scheider, Sonny Grosso","During a drug smuggle with a French Connection, the NYC narcotics police division engulf themselves further with breaking up the smuggling process."
349,Dirty Harry,1971,3.1,English,Thriller/Action,R,Don Siegel,"Clint Eastwood, Reni Santoni, Harry Guardino, Andrew Robinson, John Mitchum, John Vernon","A ruthless cop who ignores all the rules and gets away with it, tries to track down a San Francisco serial killer."
350,Rope,1948,3.1,English,Mystery/Drama,PG,Alfred Hitchcock,"James Stewart, John Dall, Cedric Hardwicke, Farley Granger, Constance Collier, Douglas Dick","A group of men strangle one of their friends and hide him in a closet, then invite guest over to test how well they committed the crime - think they had achieved the perfect crime."
351,Breakfast at Tiffany's,1961,3.1,English,Comedy/Drama,NR,Blake Edwards,"Audrey Hepburn, George Peppard, Patricia Neal, Buddy Ebsen, Martin Balsam, Mickey Rooney","When a struggling writer moves into a New York apartment building, he becomes captivated by Holly Golightly. Her public persona as a sophisticated socialite is belied by her private life as a vulnerable woman."
352,The Notebook,2004,3.0,English,Romance/Drama,PG-13,Nick Cassavetes,"Ryan Gosling, Rachel McAdams, James Garner, Gena Rowlands, Sam Shepard, Joan Allen",A man tells the story of a young couple who struggle through the times as rich daughter and a poor mill worker some 50 or 60 years ago.
353,Zootopia,2016,3.2,English,Animation/Adventure,PG,"Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Alan Tudyk, J.K. Simmons, Octavia Spencer","In the animal city, Zootopia, a smooth fox looking to make a name for himself, instead finds trouble when he's framed for a crime he didn't commit. The head officer, a no-nonsense rabbit, is close behind but soon finds out there is more to the story and must join forces with the wily fox to bring down the real culprit."
354,Mulholland Drive,2001,3.0,English,Drama/Mystery,R,David Lynch,"Naomi Watts, Laura Harring, Justin Theroux, Ann Miller, Brent Briscoe, Dan Hedaya","A car accident leaves a woman amnesic, but she teams up with a young, eager Hollywood hopeful in search of clues that lead them both deeper into a world that is part dream and part reality."
355,The Wild Bunch,1969,3.1,English,Western/Drama,PG,Sam Peckinpah,"William Holden, Robert Ryan, Ernest Borgnine, Ben Johnson, Warren Oates, Edmond O'Brien",A group of old gunfighters are looking for the last score before they retire in the old west.
356,Deadpool,2016,3.2,English,Action/Fantasy,R,Tim Miller,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Gina Carano, Ed Skrein, Brianna Hildebrand","The greatest anti-hero - the Merc with a mouth - Wade Wilson was once a special forces operative but turned mercenary. After being subjected to a rogue experiment, he finds himself with accelerated healing and transforms himself into Deadpool. Armed with weapons (and a wicked sense of humor) he will stop at nothing to track down the men responsible."
357,Hot Fuzz,2007,3.0,English,Comedy/Action,R,Edgar Wright,"Simon Pegg, Nick Frost, Martin Freeman, Bill Nighy, Robert Popper, Timothy Dalton","The top cop in London is too good at his job, so he is sent to a quiet country village where crime is nonexistant, however, not all is as it seems."
358,Patton,1970,3.1,English,War/Biography,PG,Franklin J. Schaffner,"George C. Scott, Morgan Paull, Karl Malden, Stephen Young, Michael Strong, Frank Latimore",A hard nosed controversial general is shown in this WW 2 movie about how to win battles and look good doing it.
359,Spartacus,1960,3.1,English,Drama/Action,PG-13,Stanley Kubrick,"Kirk Douglas, Nina Foch, Laurence Olivier, Jean Simmons, Charles Laughton, John Gavin",A slave by the name of Spartacus is trained like a gladiator only to escape to lead a revolt against the Romans.
360,The Fighter,2010,3.1,English,Drama,R,David O. Russell,"Amy Adams, Christian Bale, Mark Wahlberg, Melissa Leo, Jack McGee, Dendrie Taylor","The story of boxer ""Irish"" Mickey Ward and his trainer / brother as he goes from amateur to professional."
361,Harry Potter and the Goblet of Fire,2005,3.0,English,Fantasy/Adventure,PG-13,Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson, Michael Gambon, Brendan Gleeson, Ralph Fiennes",Hogwarts plays host to the Tri-Wizard Tournament and Harry becomes an unwilling participant as a dark plot takes place to revive the dark wizard Voldemort.
362,The Birds,1963,3.1,English,Horror/Thriller,PG,Alfred Hitchcock,"Suzanne Pleshette	 ., Rod Taylor, Jessica Tandy, Veronica Cartwright, Tippi Hedren, Malcolm Atterbury",A slew of birds begin attacking a small town where a girl chases down a guy see likes.
363,Monty Python's Life of Brian,1979,3.1,English,Comedy,R,Terry Jones,"Terry Gilliam, Graham Chapman, John Cleese, Terry Jones, Eric Idle, Michael Palin","During the time of Jesus, a boy is born in the stable next to the Messiah, his name is Brian and he is often mistaken for the messiah."
364,A Few Good Men,1992,3.0,English,Drama/Thriller,R,Rob Reiner,"Jack Nicholson, Tom Cruise, Demi Moore, Kevin Bacon, Kevin Pollak, J.T. Walsh",A marine lawer defends fellow marines against a muder they claim they did not commit.
365,Godzilla Minus One ( Gojira -1.0 ),2023,3.4,Japanese,Action/Adventure,PG-13,Takashi Yamazaki,"Ryunosuke Kamiki, Minami Hamabe, Yûki Yamada, Hidetaka Yoshioka, Sakura Ando, Kuranosuke Sasaki","In post-war Japan, the country and its people struggle to recover from the fallout of war. And yet something much more devastating and dangerous arises - a monster born from the atomic age that only brings about more death and destruction."
366,The Blues Brothers,1980,3.0,English,Comedy/Action,R,John Landis,"John Belushi, Dan Aykroyd, Cab Calloway, Ray Charles, James Brown, Aretha Franklin","Jake Blues, fresh out of prison, and his brother Elwood are on a mission from God to reunite their band, raise enough money to save their former orphanage and survive run-ins from state police, white supremicists and one angry ex-girlfriend."
367,Harry Potter and the Order of the Phoenix,2007,3.0,English,Adventure/Fantasy,PG,David Yates,"Daniel Radcliffe, Fiona Shaw, Harry Melling, Jason Boyd, Richard Macklin, Brendan Gleeson","In his fifth year at Hogwarts, Harry is under pressure as the Ministry of Magic refuses to acknowledge the return of the evil Lord Voldemort branding him a liar. Meanwhile a delightfully evil new Defense Against the Dark Arts teacher is appointed by the Ministry and she turns Hogwarts into her own military state."
368,Sling Blade,1996,3.1,English,Drama,R,Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam, John Ritter, J.T. Walsh, Robert Duvall, Lucas Black","An institutionalized man is released to live in a small community and start a new life, even though he killed his parents when he was very young."
369,BlacKkKlansman,2018,3.2,English,Biography/Comedy,R,Spike Lee,"Adam Driver, Topher Grace, John David Washington, Ryan Eggold, Laura Harrier, Robert John Burke","Based on the true story of Ron Stallworth, and African-American cop in Colorado who infiltrated the local Ku Klux Klan and found himself head of said chapter."
370,All the President's Men,1976,3.1,English,Drama/Historical,PG,Alan J. Pakula,"Robert Redford, Dustin Hoffman, Jason Robards, Ned Beatty, Jack Warden, Hal Holbrook",A leaked report to Washington Post reporters causes Bernstein and Woodward to investigate further into the Watergate Scandal to force Nixon to resign.
371,50/50,2011,3.1,English,Comedy/Drama,R,Jonathan Levine,"Joseph Gordon-Levitt, Bryce Dallas Howard, Seth Rogen, Anna Kendrick, Anjelica Huston, Marie Avgeropoulos","A young man is diagnosed with a rare form of spinal cancer and decides to fight for his life with the help his friend, mother and a young therapist."
372,District 9,2009,3.0,English,Sci-Fi,R,Neill Blomkamp,"William Allen Young, Robert Hobbs, Jason Cope, Sharlto Copley, Kenneth Nkosi, Vanessa Haywood",A refugee camp in Africa is home to extraterrestrials living in slum-like conditions that only want be treated with respect and get back to their home.
373,"Girl with the Dragon Tattoo, The ( Män som hatar kvinnor )",2010,3.1,Swedish,Crime/Mystery,R,Niels Arden Oplev,"Michael Nyqvist, Noomi Rapace, Lena Endre, Peter Haber, Sven-Bertil Taube, Peter Andersson","Based on first book of best-selling trilogy by Stieg Larsson - Mikael Blomkvist, a disgraced financial journalist is hired by an aging head of a once-powerful Swedish industrial firm to solve the 40-year-old mystery of his missing niece. Meanwhile, anti-social hacker Lisbeth Salander finds herself having to deal with a new caretaker while secretly aiding Blomkvist, until their paths finally cross."
374,This is Spinal Tap,1984,3.1,English,Comedy,R,Rob Reiner,"Christopher Guest, Michael McKean, Harry Shearer, Ed Begley Jr., Rob Reiner, Fran Drescher","A mock rockumentary following the trials and tribulations of Spinal Tap, a British rock band trying to make their American comeback."
375,Goldfinger,1964,3.1,English,Action/Adventure,PG,Guy Hamilton,"Sean Connery, Honor Blackman, Gert Fröbe, Shirley Eaton, Harold Sakata, Lois Maxwell","After finding someone is stockpiling gold, James Bond is sent on the trail of Auric Goldfinger. He soon uncovers a plot ""Operation Grand Slam"" for Goldfinger to rob Fort Knox and throw the world's economy into turmoil."
376,Witness for the Prosecution,1958,3.2,English,Drama/Mystery,PG,Billy Wilder,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams, Henry Daniell",A man on trial for murder goes through a rigorous plot twisting court trial; based on an Agatha Christie story.
377,Portrait of a Lady on Fire ( Portrait de la jeune fille en feu ),2019,3.3,French,Drama/Romance,R,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras, Armande Boulanger","In 18th century Brittany, a young, female French painter, Marianne is tasked with painting a portrait of Héloïse before her upcoming forced marriage. As Héloïse has resisted all previous attempts to paint her before, Marianne must befriend her by day - and paint her from memory by night. But it doesn't take long before the two draw ever closer to one another."
378,The Hurt Locker,2009,3.1,English,Action/Drama,R,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Guy Pearce, Ralph Fiennes, David Morse, Evangeline Lilly","An elite bomb squad in Iraq is assigned a new sergeant who wastes no time taking his unit into the deadly urban chaos with reckless abandon. As his men struggle to understand his death wish, his true character is revealed that will affect every man."
