rank,film_title,film_year,overall_rating,language,genre,mpaa_rating,director,actors,plot_summary
616,The Ox-Bow Incident,1943,3.1,English,Drama/Western,PG,William A. Wellman,"Henry Fonda, Dana Andrews, Anthony Quinn, Mary Beth Hughes, Harry Morgan","A pair of drifters passing through a Western town join a posse intent on tracking down the men responsible for the murder of a local farmer and subsequent cattle rustling. When they track down the men, they are ready to dispense justice on the spot."
617,"Hate ( haine, La )",1995,3.1,French,Crime/Drama,R,Mathieu Kassovitz,"Vincent Cassel, Saïd Taghmaoui, Hubert Koundé, Abdel Ahmed Ghili, Solo, Héloïse Rauth","Follows the lives of three men in 24-hour span in the French suburban ""ghetto"": Vinz, a Jew, Saïd, an Arab, and Hubert, a black boxer - a night of riots leaves Vinz's friend, Abdel in the hospital following a beating by police officers. Vinz finds a gun and vows to kill a cop if Abdel dies from his injuries."
618,The Boondock Saints,2000,2.9,English,Action/Crime,R,Troy Duffy,"Willem Dafoe, Sean Patrick Flanery, Norman Reedus, David Della Rocco, Brian Mahoney, Billy Connolly",Two brothers fight the Russian mob in their neighborhood. They begin killing evil men in the name of truth (veritas) and justice (aequitas). They are pursued by an FBI agent who sees what he has always secretly hoped would happen with criminals and deals with the fact that there is no public outcry for the killings to stop.
619,The Color Purple,1985,3.0,English,Drama,R,Steven Spielberg,"Whoopi Goldberg, Danny Glover, Oprah Winfrey, Desreta Jackson, Rae Dawn Chong, Willard E. Pugh",The story of a young black women's entire life - including hardships and the things that made her happy.
620,From Russia with Love,1964,3.0,English,Adventure/Action,PG,Terence Young,"Sean Connery, Daniela Bianchi, Lois Maxwell, Pedro Armendáriz, Lotte Lenya, Bernard Lee","James Bond is after a Russian decoding machine known as Lektor and as he romances a Russian girl, he realizes that SPECTRE is setting him up in retaliation for eliminating Dr. No."
621,Dune: Part Two,2024,3.2,English,Action/Sci-Fi,PG-13,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson, Zendaya, Josh Brolin, Austin Butler, Stellan Skarsgård","After the fall of House Atreides, the Harkonnen have taken control of Arrakis. Paul and his mother Jessica survive and begin to learn the ways of the desert Fremen people. Jessica, however, has plans elevate Paul to a messiah-like figure - a destiny Paul is reluctant to take but as the conflict increases, his decision will reverberate far beyond the desert planet."
622,Incredibles 2,2018,3.1,English,Animation/Fantasy,PG,Brad Bird,"Holly Hunter, Craig T. Nelson, Sarah Vowell, Huck Milner, Samuel L. Jackson, Bob Odenkirk","In a bid to let ""supers"" get back to their heroic ways, Elastigirl becomes the new face of super heroes in a global tour of her prowess. But that leaves Mr. Incredible to take on a heroic task himself, namely taking care of his kids (including the ever-shifting Jack-Jack), on his own."
623,Snow White and the Seven Dwarfs,1937,3.0,English,Animation/Family,G,David Hand,"Adriana Caselotti, Roy Atwell, Billy Gilbert, Pinto Colvig, Eddie Collins, Lucille La Verne",The classic tale of Snow White being poisoned and awakened by a prince's kiss.
624,"I, Tonya",2017,3.1,English,Biography/Drama,R,Craig Gillespie,"Margot Robbie, Sebastian Stan, Bobby Cannavale, Mckenna Grace, Allison Janney, Caitlin Carver","From an early age, Tonya Harding seemed destined for skating glory, putting in the work and time necessary to hone her skills. But her rising star in U.S. Figure Skating is threatened when her ex-husband becomes involved."
625,Bo Burnham: Inside,2021,3.4,English,Comedy/Drama,NR,Bo Burnham,Bo Burnham,
626,Stagecoach,1939,3.1,English,Western,NR,John Ford,"John Wayne, Andy Devine, Tim Holt, Claire Trevor, George Bancroft, John Carradine","John Wayne plays ""The Ringo Kid"" as a stage coach travels out west carrying a Doctor, a pregnant woman, and a bank manger when they encounter Geronimo."
627,National Lampoon's Animal House,1978,3.0,English,Comedy,R,John Landis,"John Belushi, Tim Matheson, Tom Hulce, Donald Sutherland, Karen Allen, Peter Riegert","It's the lowbrow ""animal"" Delta House versus the uptight Dean Wormer as their increasingly lewd and crude behavior threaten to get their beloved fraternity shut down. You know what we are gonna do? Toga party."
628,Rogue One: A Star Wars Story,2016,3.1,English,Adventure/Fantasy,PG-13,Gareth Edwards,"Felicity Jones, Mads Mikkelsen, Ben Mendelsohn, Alan Tudyk, Diego Luna, Forest Whitaker","Set before the events of Star Wars: A New Hope, Rogue One follows a group of resistance fighters on a daring mission to steal plans for the Empire's ultimate war machine: The Death Star."
629,Miller's Crossing,1990,3.0,English,Crime/Thriller,R,Joel Coen,"Gabriel Byrne, John Turturro, Albert Finney, Marcia Gay Harden, Steve Buscemi, Michael Jeter","During prohibition, crime bosses rage ware against each other as loyal and betrayal often occur."
630,Sherlock Holmes,2009,2.9,English,Adventure/Crime,PG-13,Guy Ritchie,"Robert Downey Jr., Jude Law, Rachel McAdams, Kelly Reilly, Mark Strong, Eddie Marsan","A new take on the old legend - Sherlock Holmes and the ever-present Watson are still on the case to unravel a nefarious plot to destroy the country, but this time he's just as keen using his fists as his mind."
631,"dolce vita, La",1961,3.1,Italian,Drama,NR,Federico Fellini,"Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Alain Cuny, Walter Santesso, Yvonne Furneaux","A serious journalist finds himself seduced by the decadent lifestyle of the hedonistic jet-setters of Rome, and attempts to make sense of it all."
632,Midnight Cowboy,1969,3.0,English,Drama,R,John Schlesinger,"Dustin Hoffman, Jon Voight, Sylvia Miles, John McGiver, Brenda Vaccaro, Ruth White",A lonely male prostitute finds an unwanted friend who both try to survive life on the streets in urban New York City.
633,"Cabinet of Dr. Caligari, The ( Cabinet des Dr. Caligari, Das )",1920,3.1,German,Drama/Horror,NR,Robert Wiene,"Werner Krauss, Conrad Veidt, Friedrich Feher, Hans Heinrich von Twardowski, Rudolf Lettinger",Dr. Caligari and his somnambulist predict deadly things.
634,Perfect Blue,1999,3.1,Japanese,Anime/Thriller,R,Satoshi Kon,"Bridget Hoffman, Wendee Lee, R. Martin Klein, Michael Lindsay, Richard Plantagenet, Jamieson Price","A retired pop idol begins a new career as a risque actress, but when she finds a website that has intimate details of her life, she begins to question her own life."
635,"Virgin Spring, The ( Jungfrukällan )",1960,3.1,Swedish,Crime/Drama,NR,Ingmar Bergman,"Max von Sydow, Birgitta Pettersson, Axel Düberg, Birgitta Valberg, Gunnel Lindblom","During the early 1500s in Sweden, a young virgin is murdered.  The murders ironically seek shelter in the parents home in which a plot of revenge is taken against the sinners."
636,"Diving Bell and the Butterfly, The ( Scaphandre et le papillon, Le )",2007,3.1,French,Biography/Drama,PG-13,Julian Schnabel,"Max von Sydow, Marie-Josée Croze, Mathieu Amalric, Jean-Pierre Cassel, Isaach De Bankolé, Emma de Caunes",The Biography an editor who is paralyzed in virtually 100% of the body.
637,The Irishman,2019,3.1,English,Biography/Crime,R,Martin Scorsese,"Anna Paquin, Robert De Niro, Al Pacino, Jesse Plemons, Stephen Graham, Harvey Keitel","Frank Sheeran, a former mobster, recounts the tale of his relationship with Russell Buffalino and James Hoffa."
638,The Pursuit of Happyness,2006,3.0,English,Drama/Biography,PG,Gabriele Muccino,"Will Smith, Jaden Smith, Thandie Newton, Brian Howe, James Karen, Dan Castellaneta","Based on a true story, in 1981 struggling salesman Chris Gardner wants nothing more than the best for his family, especially his son. When his wife leaves him, he takes custody of his son and secures a non-paying internship at Dean Witter. With money dwindling and time always against him, he will let nothing stand in the way of his future."
639,Whisper of the Heart ( Mimi wo sumaseba ),1995,3.1,Japanese,Anime/Drama,G,Yoshifumi Kondo,"Youko Honna, Kazuo Takahashi, Takashi Tachibana, Shigeru Muroi, Shigeru Tsuyuguchi, Keiju Kobayashi","A young girl who reads a lot of fairy tales has a typical life, but something is missing. One day, on a whim, she follows a cat riding a train - this leads her to a chance meeting with a young boy who dreams of being a violin-maker and his grandfather's antique store where a statue of a cat gives her inspiration to follow her own dream: to write."
640,The Father,2020,3.2,English,Drama,PG-13,Florian Zeller,"Anthony Hopkins, Olivia Colman, Olivia Williams, Rufus Sewell, Evie Wray, Imogen Poots",
641,The Adventures of Robin Hood,1938,3.1,English,Adventure/Romance,PG,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Claude Rains, Melville Cooper, Basil Rathbone, Patric Knowles",A classic when Robin Hood tries to rescue the masses against the king and his men.
642,Eastern Promises,2007,3.0,English,Drama/Mystery,R,David Cronenberg,"Viggo Mortensen, Vincent Cassel, Naomi Watts, Armin Mueller-Stahl, Donald Sumpter, Raza Jaffrey","In London, a 14 year old girl dies giving birth to a child.  A midwife finds her diary and tries to uncover the mystery behind her death and where her family is located."
643,Dark City,1998,3.0,English,Sci-Fi/Mystery,R,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, William Hurt, Richard O'Brien, Ian Richardson",The city is not what it seems. Has anyone seen daylight? How do you get to Mertle beach? Does anyone have the answers?
644,The 39 Steps,1935,3.1,English,Mystery/Thriller,NR,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle, Peggy Ashcroft, Wylie Watson","In this classic Hitchcockian thriller, Robert Donat is an innocent man who becomes accidentally embroiled in an insidious spy ring and is forced to run for his life."
645,Persepolis,2007,3.0,French,Animation/Biography,PG-13,Vincent Paronnaud,"Catherine Deneuve, Chiara Mastroianni, Danielle Darrieux, Simon Abkarian, Gabrielle Lopes, François Jerosme",An animation story told of an young Iranian girl growing up just after the Islamic Revolution.
